Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent Elastic Strain (mm/mm)
1325	15,159	-15,745	-0,11647	0,49494
1325	15,159	-15,745	-0,11647	0,49494
1326	14,657	-16,657	-0,11647	0,48973
1326	14,657	-16,657	-0,11647	0,48973
1327	14,151	-17,581	-0,11647	0,48626
1327	14,151	-17,581	-0,11647	0,48626
1328	13,647	-18,524	-0,11647	0,48448
1328	13,647	-18,524	-0,11647	0,48448
1329	12,626	-20,422	-0,11647	0,48597
1329	12,626	-20,422	-0,11647	0,48597
1330	11,612	-22,341	-0,11647	0,49368
1330	11,612	-22,341	-0,11647	0,49368
1331	10,598	-24,252	-0,11647	0,50704
1331	10,598	-24,252	-0,11647	0,50704
1332	10,089	-25,209	-0,11647	0,51565
1332	10,089	-25,209	-0,11647	0,51565
1333	9,5809	-26,168	-0,11647	0,52551
1333	9,5809	-26,168	-0,11647	0,52551
1334	9,0821	-27,122	-0,11647	0,53649
1334	9,0821	-27,122	-0,11647	0,53649
1335	7,6267	-29,967	-0,11647	0,57618
1335	7,6267	-29,967	-0,11647	0,57618
1336	7,1554	-30,924	-0,11647	0,5919
1336	7,1554	-30,924	-0,11647	0,5919
1337	-17,243	11,619	-0,11647	0,54
1337	-17,243	11,619	-0,11647	0,54
1338	-16,285	13,394	-0,11647	0,51468
1338	-16,285	13,394	-0,11647	0,51468
1339	-15,804	14,282	-0,11647	0,50513
1339	-15,804	14,282	-0,11647	0,50513
1340	-14,831	16,085	-0,11647	0,49166
1340	-14,831	16,085	-0,11647	0,49166
1341	-14,343	16,997	-0,11647	0,48757
1341	-14,343	16,997	-0,11647	0,48757
1342	-13,851	17,914	-0,11647	0,48516
1342	-13,851	17,914	-0,11647	0,48516
1343	-13,357	18,838	-0,11647	0,48439
1343	-13,357	18,838	-0,11647	0,48439
1344	-12,859	19,76	-0,11647	0,48524
1344	-12,859	19,76	-0,11647	0,48524
1345	-11,861	21,623	-0,11647	0,49122
